,Player,playerId,teamId,2K17,2K16,abbreviation
0,Alex Abrines,203518,1610612760,70.0,70.0,OKC
1,Steven Adams,203500,1610612760,81.0,76.0,OKC
2,Nick Collison,2555,1610612760,72.0,73.0,OKC
3,Taj Gibson,201959,1610612760,76.0,76.0,OKC
4,Jerami Grant,203924,1610612760,73.0,69.0,OKC
5,Josh Huestis,203962,1610612760,69.0,65.0,OKC
6,Enes Kanter,202683,1610612760,79.0,80.0,OKC
7,Doug McDermott,203926,1610612760,74.0,68.0,OKC
8,Victor Oladipo,203506,1610612760,79.0,80.0,OKC
9,Andre Roberson,203460,1610612760,74.0,72.0,OKC
10,Domantas Sabonis,1627734,1610612760,71.0,71.0,OKC
11,Kyle Singler,202713,1610612760,71.0,71.0,OKC
12,Russell Westbrook,201566,1610612760,93.0,89.0,OKC
13,Quincy Acy,203112,1610612751,72.0,69.0,BKN
14,Trevor Booker,202344,1610612751,73.0,74.0,BKN
15,Spencer Dinwiddie,203915,1610612751,67.0,70.0,BKN
16,Randy Foye,200751,1610612751,71.0,72.0,BKN
17,Archie Goodwin,203462,1610612751,72.0,69.0,BKN
18,Justin Hamilton,203120,1610612751,69.0,69.0,BKN
19,Joe Harris,203925,1610612751,68.0,67.0,BKN
20,Rondae Hollis-Jefferson,1626178,1610612751,72.0,72.0,BKN
21,Sean Kilpatrick,203930,1610612751,71.0,62.0,BKN
22,Jeremy Lin,202391,1610612751,76.0,75.0,BKN
23,Brook Lopez,201572,1610612751,81.0,83.0,BKN
24,KJ McDaniels,203909,1610612751,68.0,70.0,BKN
25,Andrew Nicholson,203094,1610612751,73.0,68.0,BKN
26,Isaiah Whitehead,1627785,1610612751,68.0,68.0,BKN
27,Arron Afflalo,201167,1610612758,76.0,75.0,SAC
28,Willie Cauley-Stein,1626161,1610612758,72.0,74.0,SAC
29,Darren Collison,201954,1610612758,77.0,79.0,SAC
30,Tyreke Evans,201936,1610612758,79.0,80.0,SAC
31,Langston Galloway,204038,1610612758,71.0,72.0,SAC
32,Rudy Gay,200752,1610612758,80.0,83.0,SAC
33,Buddy Hield,1627741,1610612758,75.0,75.0,SAC
34,Kosta Koufos,201585,1610612758,74.0,72.0,SAC
35,Skal Labissiere,1627746,1610612758,70.0,70.0,SAC
36,Ty Lawson,201951,1610612758,73.0,81.0,SAC
37,Ben McLemore,203463,1610612758,72.0,73.0,SAC
38,Malachi Richardson,1627781,1610612758,69.0,69.0,SAC
39,Garrett Temple,202066,1610612758,74.0,71.0,SAC
40,Alexis Ajinca,201582,1610612740,73.0,74.0,NOP
41,Omer Asik,201600,1610612740,75.0,76.0,NOP
42,DeMarcus Cousins,202326,1610612740,90.0,87.0,NOP
43,Dante Cunningham,201967,1610612740,71.0,69.0,NOP
44,Anthony Davis,203076,1610612740,90.0,92.0,NOP
45,Cheick Diallo,1627767,1610612740,67.0,67.0,NOP
46,Tim Frazier,204025,1610612740,70.0,69.0,NOP
47,Solomon Hill,203524,1610612740,74.0,75.0,NOP
48,Jrue Holiday,201950,1610612740,79.0,80.0,NOP
49,Donatas Motiejunas,202700,1610612740,74.0,75.0,NOP
50,Cole Aldrich,202332,1610612750,74.0,72.0,MIN
51,Nemanja Bjelica,202357,1610612750,72.0,72.0,MIN
52,Omri Casspi,201956,1610612750,73.0,73.0,MIN
53,Gorgui Dieng,203476,1610612750,77.0,74.0,MIN
54,Kris Dunn,1627739,1610612750,77.0,77.0,MIN
55,Jordan Hill,201941,1610612750,76.0,75.0,MIN
56,Tyus Jones,1626145,1610612750,71.0,69.0,MIN
57,Zach LaVine,203897,1610612750,78.0,73.0,MIN
58,Shabazz Muhammad,203498,1610612750,73.0,75.0,MIN
59,Adreian Payne,203940,1610612750,69.0,69.0,MIN
60,Nikola Pekovic,201593,1610612750,74.0,77.0,MIN
61,Ricky Rubio,201937,1610612750,77.0,77.0,MIN
62,Brandon Rush,201575,1610612750,72.0,65.0,MIN
63,Karl-Anthony Towns,1626157,1610612750,88.0,78.0,MIN
64,Andrew Wiggins,203952,1610612750,82.0,80.0,MIN
