Player,2K17,2K16,2K15,2K14
Alex Abrines,70,,,
Quincy Acy,72,69,67,64
Jordan Adams,68,70,71,
Steven Adams,81,76,74,57
Arron Afflalo,76,75,78,76
Cole Aldrich,74,72,67,59
Alexis Ajinca,73,74,68,
LaMarcus Aldridge,88,88,88,86
Clifford Alexander,66,69,,
LaVoy Allen,72,71,68,63
Tony Allen,78,78,78,75
Chris Andersen,73,73,75,66
Alan Anderson,69,69,71,70
Justin Anderson,72,71,,
Kyle Anderson,74,71,67,
Ryan Anderson,79,76,77,69
Giannis Antetokounmpo,83,81,74,
Carmelo Anthony,88,88,89,93
Trevor Ariza,77,75,78,76
Darrell Arthur,75,71,69,72
Omer Asik,75,76,76,70
DJ Augustin,73,73,76,72
Luke Babbitt,69,70,66,59
Wade Baldwin,69,,,
Leandro Barbosa,73,74,67,71
Jose Barea,76,74,74,69
Harrison Barnes,79,77,76,75
Matt Barnes,74,73,76,73
Will Barton,78,73,70,61
Brandon Bass,74,74,75,72
Nicolas Batum,79,77,79,79
Jerryd Bayless,74,72,74,70
Aron Baynes,75,72,68,
Kent Bazemore,78,72,74,70
Bradley Beal,79,80,77,75
Malik Beasley,69,,,
Michael Beasley,75,67,72,76
Marco Belinelli,72,73,75,65
DeAndre Bembry,69,,,
Dragan Bender,72,,,
Anthony Bennett,70,69,70,76
Davis Bertans,70,,,
Patrick Beverley,76,76,78,73
Bismack Biyombo,77,72,73,61
Nemanja Bjelica,72,72,,
Tarik Black,70,69,69,
Eric Bledsoe,85,82,81,81
Bojan Bogdanovic,76,71,72,
Andrew Bogut,77,77,80,79
Joel Bolomboy,67,,,
Devin Booker,78,72,,
Trevor Booker,73,74,74,67
Chris Bosh,86,84,84,84
Avery Bradley,82,77,78,79
Corey Brewer,73,76,75,73
Malcolm Brogdon,70,,,
Aaron Brooks,73,75,73,76
Anthony Brown,69,68,,
Jaylen Brown,74,,,
Reggie Bullock,70,67,69,64
Trey Burke,73,73,75,73
Alec Burks,77,76,76,72
Jimmy Butler,88,86,80,76
Bruno Caboclo,66,65,64,
Jose Manuel Calderon,74,73,78,75
Kentavious Caldwell-Pope,79,73,72,70
Isaiah Canaan,72,73,72,69
Clint Capela,77,70,67,
DeMarre Carroll,76,79,75,61
Vince Carter,74,73,77,80
Michael Carter-Williams,75,77,80,61
Omri Casspi,73,73,72,62
Willie Cauley-Stein,72,74,,
Tyson Chandler,74,79,79,77
Wilson Chandler,76,77,78,80
Marquese Chriss,71,,,
Rakeem Christmas,66,65,,
Ian Clark,71,66,67,64
Jordan Clarkson,77,75,70,
Allen Crabbe,75,67,67,64
Jamal Crawford,77,79,80,79
Darren Collison,77,79,79,76
Nick Collison,72,73,74,63
Pat Connaughton,69,67,,
Mike Conley,85,85,83,83
DeMarcus Cousins,90,87,86,82
Robert Covington,76,73,69,
Jae Crowder,81,76,72,67
Dante Cunningham,71,69,68,64
Seth Curry,72,67,65,63
Stephen Curry,94,93,89,88
Troy Daniels,70,67,71,67
Anthony Davis,90,92,88,79
Deyonta Davis,69,,,
Ed Davis,77,76,73,71
Dewayne Dedmon,74,71,66,
Matthew Dellavedova,75,70,68,
Sam Dekker,70,70,,
Luol Deng,78,78,79,83
DeMar DeRozan,87,83,83,77
Cheick Diallo,67,,,
Boris Diaw,74,74,78,62
Gorgui Dieng,77,74,72,64
Spencer Dinwiddie,67,70,69,
Goran Dragic,78,81,84,78
Andre Drummond,87,83,83,72
Jared Dudley,76,75,74,72
Mike Dunleavy,73,73,74,68
Kris Dunn,77,,,
Kevin Durant,93,91,95,95
Jarell Eddie,66,65,,
Henry Ellenson,70,,,
Wayne Ellington,72,70,71,64
Monta Ellis,77,81,82,83
Joel Embiid,77,76,77,
James Ennis,71,70,70,
Tyler Ennis,70,67,71,
Jeremy Evans,70,70,70,56
Tyreke Evans,79,80,78,80
Dante Exum,74,73,74,
Festus Ezeli,76,72,67,52
Kenneth Faried,80,79,81,80
Al-Farouq Aminu,77,73,74,72
Derrick Favors,85,82,78,75
Kay Felder,69,,,
Cristiano Felicio,70,66,,
Raymond Felton,74,71,74,79
Evan Fournier,78,72,72,66
Randy Foye,71,72,74,72
Tim Frazier,70,69,69,
Channing Frye,74,71,76,67
Danilo Gallinari,80,76,77,77
Langston Galloway,71,72,69,
Kevin Garnett,74,76,77,84
Marc Gasol,85,87,85,85
Pau Gasol,84,86,82,81
Rudy Gay,80,83,82,86
Michael Gbinije,68,,,
Alonzo Gee,70,70,69,70
Paul George,89,86,89,83
Jonathan Gibson,68,,,
Taj Gibson,76,76,80,76
Manu Ginobili,79,78,83,86
Rudy Gobert,81,79,71,52
Archie Goodwin,72,69,69,68
Aaron Gordon,76,74,74,
Eric Gordon,77,78,79,84
Marcin Gortat,79,78,81,81
Jerami Grant,73,69,68,
Jerian Grant,72,69,,
Danny Green,76,76,78,72
Draymond Green,90,82,77,61
Gerald Green,73,76,78,69
Jeff Green,76,77,78,79
JaMychal Green,73,67,69,
Blake Griffin,87,88,87,86
Justin Hamilton,69,,69,
AJ Hammons,69,,,
Tim Hardaway Jr,71,73,77,69
James Harden,90,92,88,88
Maurice Harkless,72,68,74,73
Montrezl Harrell,70,69,,
Devin Harris,73,74,75,76
Gary Harris,76,65,71,
Joe Harris,68,67,68,
Tobias Harris,78,79,76,75
Aaron Harrison,65,66,,
Andrew Harrison,68,,,
Udonis Haslem,70,71,72,70
Spencer Hawes,72,71,76,71
Gordon Hayward,84,83,81,68
Gerald Henderson,74,74,78,72
Juan Hernangomez,68,,,
Willy Hernangomez,69,,,
John Henson,76,74,75,62
Mario Hezonja,74,73,,
Roy Hibbert,74,77,80,79
Buddy Hield,75,,,
George Hill,76,78,78,75
Jordan Hill,76,75,76,70
Solomon Hill,74,75,66,62
Darrun Hilliard,68,68,,
Jrue Holiday,79,80,82,88
Richaun Holmes,70,67,,
Rodney Hood,80,71,71,
Al Horford,85,83,83,84
Justin Holiday,70,72,64,61
Rondae Hollis-Jefferson,72,72,,
Dwight Howard,84,85,88,90
Marcelo Huertas,72,69,,
Josh Huestis,69,65,65,
Kris Humphries,73,72,73,75
RJ Hunter,65,67,,
Serge Ibaka,79,80,84,85
Andre Iguodala,81,77,82,84
Ersan Ilyasova,75,74,73,75
Joe Ingles,73,70,69,
Brandon Ingram,78,,,
Kyrie Irving,89,87,86,89
Jarrett Jack,74,74,74,79
Reggie Jackson,82,78,78,67
LeBron James,96,94,98,99
Livio Jean-Charles,69,,,
Al Jefferson,79,83,87,84
Richard Jefferson,74,72,72,71
John Jenkins,69,67,68,61
Brandon Jennings,75,80,80,83
Jonas Jerebko,73,72,71,66
Amir Johnson,76,76,77,70
Brice Johnson,69,,,
James Johnson,72,75,70,66
Joe Johnson,77,79,82,83
Stanley Johnson,75,73,,
Tyler Johnson,75,73,68,
Wesley Johnson,73,72,73,66
Nikola Jokic,79,68,,
Damian Jones,68,,,
James Jones,69,69,69,58
Terrence Jones,74,75,77,59
Tyus Jones,71,69,,
DeAndre Jordan,85,84,81,74
Cory Joseph,75,74,73,62
Frank Kaminsky,74,73,,
Enes Kanter,79,80,75,65
Michael Kidd-Gilchrist,79,78,77,77
Sean Kilpatrick,71,62,,
Brandon Knight,78,81,79,76
Kyle Korver,76,79,78,63
Kosta Koufos,74,72,72,64
Mindaugas Kuzminskas,73,,,
Skal Labissiere,70,,,
Jeremy Lamb,74,73,73,71
Joffrey Lauvergne,75,69,69,
Zach LaVine,78,73,72,
Ty Lawson,73,81,84,85
Jake Layman,68,,,
Courtney Lee,76,75,76,74
David Lee,74,76,82,84
Alex Len,75,74,68,57
Kawhi Leonard,93,87,85,80
Meyers Leonard,72,72,68,59
Jon Leuer,75,72,69,63
Caris Levert,71,,,
Damian Lillard,89,86,87,82
Jeremy Lin,76,75,77,75
Shaun Livingston,76,73,74,62
Kevon Looney,70,69,,
Brook Lopez,81,83,83,81
Robin Lopez,77,75,77,69
Kevin Love,82,81,89,88
Kyle Lowry,86,83,85,82
Timothe Luwawu-Cabarrot,69,,,
Trey Lyles,72,72,,
Shelvin Mack,74,72,71,65
Ian Mahinmi,76,73,75,71
Thon Maker,71,,,
Boban Marjanovic,75,69,,
Jarell Martin,69,67,,
Wesley Matthews,78,79,78,77
Luc Mbah a Moute,73,69,74,71
James Michael McAdoo,68,67,67,
Ray McCallum,71,71,74,66
Patrick McCaw,70,,,
CJ McCollum,83,72,72,72
TJ McConnell,73,70,,
Chris McCullough,69,67,,
KJ McDaniels,68,70,69,
Doug McDermott,74,68,75,
Ben McLemore,72,73,74,72
Jordan McRae,70,68,,
Josh McRoberts,71,71,74,64
Jodie Meeks,74,74,75,69
Salah Mejri,73,68,,
Jordan Mickey,71,68,,
Khris Middleton,81,78,75,60
CJ Miles,76,73,73,68
Mike Miller,70,68,74,71
Patrick Mills,75,74,77,69
Paul Millsap,86,83,85,83
Nikola Mirotic,76,74,75,
Greg Monroe,79,82,80,81
Luis Montero,65,65,,
E’Twaun Moore,74,70,68,62
Eric Moreland,65,65,65,
Marcus Morris,76,73,75,68
Markieff Morris,76,78,78,69
Anthony Morrow,73,72,73,66
Donatas Motiejunas,74,75,69,58
Timofey Mozgov,75,77,74,63
Emmanuel Mudiay,76,75,,
Shabazz Muhammad,73,75,67,65
Dejounte Murray,70,,,
Jamal Murray,75,,,
Mike Muscala,72,72,68,
Maurice N'Dour,69,,,
Larry Nance Jr,75,68,,
Shabazz Napier,70,71,74,
Jameer Nelson,72,72,72,76
Raul Neto,73,70,,
Nenê,77,76,,
Georges Niang,68,,,
Andrew Nicholson,73,68,71,69
Joakim Noah,77,79,87,83
Nerlens Noel,77,77,76,72
Lucas Nogueira,69,68,67,
Steve Novak,72,66,72,53
Dirk Nowitzki,84,84,88,84
Jusuf Nurkic,75,74,69,
Kyle O'Quinn,76,72,70,58
Jahlil Okafor,79,77,,
Victor Oladipo,79,80,78,
Kelly Olynyk,76,74,74,62
Chinanu Onuaku,67,,,
Kelly Oubre,70,71,,
Zaza Pachulia,76,73,69,63
Giorgios Papagiannis,70,,,
Jabari Parker,78,77,78,
Tony Parker,80,83,88,87
Chandler Parsons,79,79,79,78
Patrick Patterson,76,74,75,75
Chris Paul,91,90,91,94
Adreian Payne,69,69,71,
Cameron Payne,73,72,,
Elfrid Payton,75,76,74,
Nikola Pekovic,74,77,81,78
Paul Pierce,73,78,81,82
Marshall Plumlee,66,,,
Mason Plumlee,78,76,77,61
Miles Plumlee,73,71,78,56
Jakob Poeltl,71,,,
Quincy Pondexter,74,72,68,61
Otto Porter,76,72,68,74
Bobby Portis,74,71,,
Kristaps Porzingis,81,74,,
Dwight Powell,74,68,67,
Norman Powell,74,68,,
Ronnie Price,69,69,69,65
Pablo Prigioni,71,71,72,63
Taurean Prince,71,,,
Julius Randle,77,74,76,
Zach Randolph,80,84,84,83
JJ Redick,78,79,77,72
Willie Reed,70,68,,
Malachi Richardson,69,,,
Josh Richardson,75,66,,
Austin Rivers,74,73,72,71
Brian Roberts,72,72,74,60
Andre Roberson,74,72,68,65
Glenn Robinson,70,67,67,
Sergio Rodriguez,74,,,
Rajon Rondo,81,77,87,89
Derrick Rose,80,82,88,92
Terrence Ross,75,73,76,70
Terry Rozier,71,69,,
Ricky Rubio,77,77,79,78
Damjan Rudez,66,68,69,
Brandon Rush,72,65,69,71
D'Angelo Russell,79,77,,
Domantas Sabonis,71,,,
Jakarr Sampson,71,69,64,
Dario Saric,75,,,
Tomas Satoransky,72,,,
Dennis Schroeder,78,76,70,68
Luis Scola,74,75,77,79
Mike Scott,73,72,72,61
Thabo Sefolosha,75,74,74,69
Ramon Sessions,74,72,74,74
Iman Shumpert,74,75,77,82
Pascal Siakam,67,,,
